target,a,b,c,d
aBihAra,aBigraha,prawijAgara,niRTevana,Brami
vikqwi,vikAra,vyawyAsa,vaSa,sanniXi
upaSAya,viSAya,uxaja,viparyAsa,lava
niRTevana,niRTIvana,Scyowa,vyAsa,prawijAgara
upawapwq,spraRtq,nigaxa,KalinI,SrayaNa
kqwyA,karman,prapaFca,Sama,samBrama
jAgarA,jAgaryA,xAnwi,muRtibanXa,Scyowa
samAhAra,samuccaya,niRkrama,anwarAya,samunxana
viparyAsa,vyawyaya,paryAya,viprakAra,praviRtamBa
niRkrama,XISakwi,sUwraveRtana,Ananxana,visarpaNa
prawiKyAwi,viSrAva,anuBava,marxana,pAka
prawijAgara,avekRA,anuhAra,viyama,uparAma
pavana,niRpAva,pava,saMvexa,prawyAhAra
raNa,kvaNa,awikrama,aBigrahaNa,prayAma
nirasana,prawyAKyAna,xAnwi,vaSa,avanAya
prayogArWa,prawyuwkrama,viSrAva,kim,anuhAra
srava,snava,axarSana,pravAha,xurgasaFcara
vqwwi,vara,Alokana,aByupapawwi,niRkrama
vijaya,jayana,lIlA,aBilAva,prawijAgara
vigraha,pariNAha,lavana,OSIra,vilepana
saMSleRa,pariramBa,safgama,mAnuRyaka,kvaNa
Scyowa,prAXAra,pariNAha,nigraha,guraNa
kRaya,kRiwi,prawibanXa,anwikASraya,prAXAra
nASa,axarSana,praviRtamBa,xqRti,guraNa
sPutana,Bix,viprayoga,pava,AkAra
nigraha,niroXa,kqwyA,vqxXi,Cexana
prasiwi,cAra,upakrama,parikrama,KalyA
safgrAha,muRtibanXa,KalinI,vipralamBa,samqxXi
xeSarUpa,nAya,xAnwi,vimarxana,pATa
samAlamBa,vilepana,vimarxana,prawyuwkrama,KalinI
KalyA,KalinI,Asrava,nihAra,rakRNa
aBilAva,lavana,sIvana,saMSleRa,prawyAxeSa
avanAya,nipAwana,nihAra,wema,apaciwi
sPAwi,vqxXi,swema,paSupreraNa,sparSa
paryApwi,haswaXAraNa,pariramBa,prayAma,upaGna
parisaryA,parIsAra,veXa,nigaxa,viXA
saBAjana,ApracCanna,guraNa,qwIyA,prawiKyAwi
klama,klamaWa,awisarjana,samunxana,prawyAhAra
uxaja,paSupreraNa,prawyAxeSa,parIsAra,OSIra
jIrNa,jyAni,sIvana,spqRti,kRepaNa
upasara,prajana,klama,upaGna,AkroSana
unnAya,unnaya,samasana,samAXi,pava
visarpaNa,prasara,Af,awiSaya,viparyAsa
paryavasWA,viroXana,uxvega,niRkrama,avanAya
prasUwi,prasava,yaSas,prajana,viXura
viXA,samqxXi,rakRNa,jAgarA,spqRti
anwikASraya,upaGna,pAka,spraRtq,varXana
Af,aBivyApwi,lIlA,marxana,vqwwi
prayAma,nIvAka,sAwi,mANavya,pAka
parimala,vimarxana,srava,pariwrANa,prayAma
wrANa,rakRNa,AxInava,upaBoga,pavana
safkRepaNa,samasana,unnaya,sevana,sPuraNA
AsanA,pITa,upalamBa,vikAra,kRipA
Sloka,yaSas,SAnwi,aBigrahaNa,lava
anwara,paryAya,nigraha,AkAra,jyAni
mANavya,mAnuRyaka,ASaya,kRiyA,AkAraNA
sanniXi,sannikarRaNa,kAmyaxAna,grAha,sPAwi
graha,grAha,spraRtq,uxyama,niRTyUwi
vaSa,iRti,pariNAma,vqxXi,prawibanXa
samunxana,wema,swema,mqgaNA,Asrava
awisarjana,vilamBa,vyaXa,viRaya,SamaWa
sevana,sIvana,aBiSaswi,apaciwi,paryavasWA
Cexana,varXana,nipAwana,viRaya,awyaya
BikRA,SrayaNa,ploRa,pava,kRipA
oRa,ploRa,viSrAva,iRti,viXura
nipaTa,pATa,lIlA,Arawi,avaxAna
prawyAhAra,upAxAna,graha,saMvAhana,niRkrama
safgama,safga,nipaTa,praNaya,upaBoga
mArgaNa,mqgaNA,nirveSa,snava,praSraya
kRipA,kRepaNa,SrayaNa,jAgarA,pAka
viprayoga,vipralamBa,aBigraha,klamaWa,nigraha
marxana,saMvAhana,muRtibanXa,avanAya,raNa
nigAxa,nigaxa,parikrama,safgama,vara
yaxqcCA,svEriwA,ASraya,hiMsAkarman,praNaya
pravAha,vega,vqxXi,upasara,klama
pravAraNa,kAmyaxAna,gIrNi,prawibanXa,sUwraveRtana
hiMsAkarman,ABicAra,veXa,wrANa,klamaWa
upAwyaya,awyaya,spqRti,jAgaryA,anukAra
kleSa,AxInava,spqRti,safkrama,suKa
vihAra,parikrama,saMvexa,avanAya,nigaxa
vyaXa,veXa,samasana,AsyA,pravAraNa
sUwraveRtana,wrasara,sIvana,prawijAgara,samBrama
parikriyA,parisarpa,AsanA,vara,klamaWa
aWa,aByAxAna,nikAra,xurgasaFcara,grAha
AkAra,ifga,prasUwi,jUrwi,hiMsAkarman
SleRa,sanXi,praNaya,viXA,sampraxAya
arxanA,praNaya,vega,niRkrama,veXa
AhvAna,hUwi,kAma,ApracCanna,anukAra
Canxa,aBiprAya,parimala,paricaya,yAma
xqRti,IkRaNa,unnaya,praSraya,nASa
AmnAya,sampraxAya,swema,nirvarNana,uwkarRa
uxvega,uxBrama,marxana,praSraya,aBigrahaNa
uwkAra,nikAra,kriyA,ploRa,safga
xurgasaFcara,safkrama,ifga,niRTevana,jAgarA
sAwi,avasAna,viXura,saMSrava,pITa
pramA,pramiwi,uxvega,Scyowa,svEriwA
sPuraNa,sPuraNA,Cexana,praSraya,ASraya
pqkwi,spqRti,damara,pramA,oRa
uwkarRa,awiSaya,vilepana,pariNAma,prawijAgara
viprakAra,nikAra,Sama,viSAya,giri
viGna,prawyUha,raNa,xarSana,vega
pacA,pAka,srava,vimarxana,kAmyaxAna
guraNa,uxyama,sampraxAya,avasAna,prayogArWa
guru,wIrWa,naBas,cawuRpaWa,Kalu
karIra,nipa,Ayawi,ABARaNa,nIvAka
prawiniXi,prawimA,karaNa,kinnareSa,xroNa
vqwrahan,bidOjas,kexAra,samayA,lakRmI
walina,pelava,prawyaya,pUjya,paripaNa
parAkrama,alam,bahis,loka,newrAmbu
vAsiwA,vaSA,nAman,guru,xvanxva
raWAfga,akRa,powra,awiSaya,aBiwas
kRawaja,asqj,kOpIna,wUli,saFcArikA
pifgala,kaxru,akRaxevin,SayyA,saMjFA
javana,AwaFcana,vqwwa,xaSana,gOra
kirmIra,kalmARa,ajira,sinXu,niSAnwa
XIsaciva,amAwya,varcaska,mecaka,api
kAxraveya,BogavawI,Awman,xivAkIrwi,varaNa
akRa,pASaka,SivA,wunxaparimqja,Siras
cAmara,prakIrNaka,vAruNI,Awafka,ilA
warRa,pipAsA,GAwuka,aSvA,kriyA
Salka,KaNda,amA,xqRti,gucCaka
carAcara,wrasa,pUruRa,kalApa,SafKa
kUta,praXAna,lAlasA,muswA,pAlASa
afgulI,karaSAKA,kInASa,warka,aBigraha
raSanA,sArasana,Xik,BreRa,nAmaXeya
maXya,sAra,puRya,ORaXa,Baga
yoga,mEWuna,saFcArikA,prawyaya,vawsa
gulma,jatA,vANinI,Adambara,avaskara
anwara,sva,aBiRafga,karaNa,katu
apavAxa,xuRTu,xuroxara,pakRman,kEvarwa
kula,anvavAya,xanwAvala,wanxrA,kudava
mawsya,mIna,nASa,uwsava,kOpIna
praBinna,garjiwa,UrarI,ku,animiRa
cela,vasana,XAman,ekapaxI,AlI
lakRya,apaxeSa,paryafka,nqSaMsa,nikqwi
praWiwa,prasixXa,UrI,sAraWi,IhA
hAyana,aNu,mawsara,kIra,kROxra
lAfgala,powra,kevala,anuwwara,prAk
priyawA,preman,hqRIka,Biwwi,avaxAwa
viSvakarman,wvaRtq,arcA,anqju,sahAya
miWyAmawi,BrAnwi,rasa,kuliSa,wufga
asru,roxana,arcis,pragraha,uxAra
piTara,muswaka,kaSipu,Sruwi,ariRta
AkarRa,SAriPala,BreRa,vqwra,rARtra
koSa,koRa,gOra,BavAnI,aFciwa
visramBa,aBimAna,kukkuta,UrI,vaswra
kamala,mqga,SayanIya,safgara,Kanaka
aMSu,praxyowana,pravAla,BaRaka,kunwala
SyAma,hariw,aBimAna,sampawwi,loka
BUwa,sma,avaRtamBa,aBiRafga,warNaka
prIwa,wqpwa,SaSvaw,xqRtAnwa,uwa
aBirUpa,svarUpa,viBAvarI,xUwI,SafKa
parAga,kiFjalka,Kalu,Ali,arjuna
hIna,nyUna,karata,viSvakarman,SyAmala
pura,aXiRTAna,wvac,BAva,goRpaxa
kqwin,vEjFAnika,samavarwin,viXunwuxa,Bava
nO,wari,maxa,wilaka,akRa
garhaNa,kuwsA,vArwA,saMvix,udu
wimira,wamisra,jaraw,UrarI,awiSaya
kakRa,wqNa,JaRa,kumuxabAnXava,BikRA
Af,ku,locana,pawwi,ASraya
uxaka,amBas,hava,karaSAKA,hanwa
Balla,acCa,eka,koRa,kqSAnu
gucCaka,swabaka,koRa,maKa,iwara
prasUna,sumanas,sakqw,aBIRu,xvanxva
sOmya,vAma,aBiKyA,saKI,gucCa
hA,hanwa,Barman,vixyuw,XAman
maryAxA,sanXA,GqNA,sanXA,kiMvaxanwI
saMvix,safgara,keli,pracewas,varNa
vyaFjana,SmaSru,aXika,aXiRTAna,pUjya
hari,Beka,Salka,BogavawI,vyAlagrAhin
kalApa,vyUDa,kRAraka,nahi,ku
mehana,lifga,pAli,yAwrA,gahana
SUra,vikrAnwa,ucCriwa,hanwa,wruti
aho,bawa,Bujaga,parIvAra,yAwrA
hewi,mayUKa,wanxrI,pafkwi,pqRawka
SarkarA,siwA,parigraha,narwakI,nIla
krIdA,narman,goRTa,kirIta,XAwrI
BUwi,sampawwi,pAMsu,priya,pawawrin
gUWa,uccAra,aBiRafga,kakRa,kacCapI
kOpIna,katu,SvaSura,xivAkIrwi,puruRa
avajFAwa,helA,saMswyAya,nigama,acalA
kArikA,Aspaxa,praXAna,SaTa,sEMhikeya
SarIra,wanU,anwaka,samparAya,anuvarwana
prasUna,prasava,nyakRa,niXyAna,aByASa
aXyakRa,sAkRAw,saFcArikA,aXika,viwAna
BerI,Anaka,aBihAra,yaWArWam,maNdiwa
kroXa,rut,jambuka,wamas,vadavA
wIrWa,nipAna,niRka,akRa,mqgaxaMSaka
valaja,upaniRkara,jIna,sUwa,avaRtamBa
kati,SroNi,niXyAna,BikRA,uxAra
sAnu,prasWa,kqwyA,mAkRika,mArga
vAyasa,xroNa,SqfgAtaka,KyAwi,saFcArikA
paScAwwApa,viprawIsAra,prAxus,prAMSu,Baga
nanu,wu,saMsWAna,Sqfga,wanwra
SrayaNa,BikRA,agaxa,Sapana,avyaya
karata,kata,kRewra,vyAXi,saMjFA
meGanAxAnulAsin,barhin,wIkRNa,katu,goRTa
akRaxevin,xyUwakqw,miWaH,hum,urarI
valaya,pArihArya,prakqwi,jyowis,uwwara
karNikA,avawaMsa,go,Sloka,hava
Orva,vadavAnala,sukqwa,prAxus,kRanwrq
paSu,mqga,ranXra,avavAxa,xvAsWiwa
mahilA,vAsiwA,vA,xAraka,hA
saMsWAna,cawuRpaWa,aBiRafga,nipuNa,iwara
kulapAlikA,kulaswrI,vAma,govinxa,Anaka
brahman,vipra,saMjFA,amqwA,ASA
Agas,kilbiRa,ciwraka,prawyaya,prakqwi
SvaSura,pUjya,pAli,kalApa,anuwwara
SyAma,Siwi,xvija,asvacCanxa,maswaka
purawas,pura,svaru,sWAna,rukprawikriyA
vANinI,xUwI,puwra,abalA,Balluka
aBIRu,pragraha,nAman,uxAra,nIvqx
praNaya,yAFcA,ciwra,kacCapI,saMjFA
axqS,edamUka,samarWa,cariRNu,pafkwi
xarSana,IkRaNa,pragraha,upamA,kArikA
xAyAxa,banXu,Orva,sinXu,safgara
sAwi,iwi,anqju,Anaka,somavalka
ganXana,aBimAna,nixeSa,alafkqwa,cOrikA
ruxra,aRtamUrwi,pOra,mUrCiwa,bAla
BikRA,nirveSa,rukprawikriyA,rajawa,pramANa
SafKa,SevaXi,xuroxara,svEra,vivaXa
walpa,SayyA,wrixiva,kUta,uRNIRa
xvA,xvAra,vixyuw,ayi,rajawa
Awman,AsWA,kakuxmawI,inxinxira,sva
vEraniryAwana,prawIkAra,Sukwa,janmin,nu
puraswAw,anuwwara,nASa,harRa,varaNa
bAlawqNa,SaRpa,viyaw,SAxa,jAwi
vyAGra,lubXaka,upasWa,iwara,xuRTu
asAra,Palgu,kevala,kravya,samaya
anubanXa,arBaka,sama,wanu,avajFAwa
ABaraNa,alam,newra,wIkRNa,wemana
wqR,xohaxa,Avali,mukuta,niRTA
kRama,samarWa,vIvaXa,samarWa,kOpIna
kali,wiRya,kumuxikA,Af,yaWAwaWam
Salka,valka,BAgya,praBinna,aMSu
SaraNa,XAman,kARTawakRa,SaTa,paFcaSAKa
mUrwimaw,xqDa,wanxrI,warRa,qkWa
bAhuja,rAjanya,sewu,vipaNi,CAyA
parigraha,BAryA,wIkRNa,swava,BaginI
anucara,anuplava,cAra,vivikwa,nASa
aWa,aWo,parvan,Bavya,riRta
sArafga,SArafga,xAva,kalaXOwa,karRaka
viRaya,ASraya,kUta,saKI,anwara
aBIRafga,AkroSana,kOSika,anuplava,SUnya
SyAla,SvaSurya,pAli,parIvApa,sarga
upaxA,upAyana,pawraraWa,SiKaNda,su
qwIyA,hqNIyA,niyanwq,sWAna,arWa
vivaXa,vIvaXa,cikura,Brama,udu
veSyA,gaNikA,wruti,pAxa,goRTa
niRAxin,haswyAroha,lubXaka,kroda,vega
ruxiwa,kruRta,niXyAna,mukuta,AkRepa
prANin,BUwa,prAxus,jalaXara,kalka
kitta,kalka,vijana,aBinavoxBix,varNa
vqjina,Siroruha,saMswyAya,anwara,ahi
piNda,ayas,nUnam,pramIlA,nihanana
pafka,aGa,SipiviRta,gaNdURa,go
wu,vqwwAnwa,prasWa,upasWa,Xvaja
sawvara,ara,xvija,xUwI,gavAkRa
kewu,vEjayanwI,mUrXABiRikwa,Canxa,xaSana
kukkuta,kqkavAku,kuSala,AsyA,Biwwa
vyawyAsa,viparyaya,rawna,prakIrNaka,maNdana
ruci,ruc,banXu,vyasana,paFcaSAKa
sawwva,prANa,pariXAna,apasavya,aXvan
karin,kuFjara,naBas,swamBa,sUwa
xiS,kakuB,mehana,SvaSurya,wrixiva
jaGanya,pAScAwya,cAra,xiv,wala
sewu,varaNa,uxxAna,mahas,sWUloccaya
raxana,kuFja,Pala,uwwara,AlI
vANinI,narwakI,upAsafga,varivasiwa,kEtarya
xvijihva,piSuna,cAra,mA,prasixXa
nAman,kila,saFcArikA,suwa,vIrya
gAyawrI,saMjFA,BAva,viwAna,CAyA
uccEs,uxAra,varXaki,GanAGana,niXana
KageSvara,nAgAnwaka,viSvAsa,kataka,BUBqw
vixura,jFAwq,kukkuta,janaSruwi,XAraNA
naya,kalpa,anuwwara,wejas,AmnAya
amla,Sukwa,vacas,agaxa,valaja
avagIwa,nirvAxa,uxanyA,kuFja,Af
sva,paNa,Ketaka,bisaprasUna,jAlika
xevq,xevara,sOxAminI,wrayI,aBIpsiwa
iwi,hewu,xvApara,upakroSa,gulma
mAnuRa,manuRya,vqka,viSara,guhya
vIrya,sAra,safkarRaNa,kuSala,Xarma
koRa,koSa,rAmaTa,viRkira,xqS
hava,sawra,vyasana,asAra,aparAXa
uwkalikA,ullola,wanxrA,sAkam,xqRti
puRkara,gaNdURa,maNdana,alIka,AlI
pUjiwa,upAsiwa,visara,barhiNa,kAma
ganXowwamA,parisruw,asqrgXarA,inxriya,pravqwwi
pravqwwi,kila,unxuru,vaSA,aXomSuka
vyAlagrAhin,ahiwuNdika,gudA,sva,anuBAva
aXoganwq,Kanaka,anubanXa,lifga,glaha
SASvawa,niwya,varNa,saMvexa,aBihAra
apaRTu,vAma,avagaNiwa,vega,aBiyoga
sWUNA,swamBa,vaSa,vAwAyana,watinI
aBivyApwi,sammUrcCana,AhvA,SyAla,wvac
xAraka,mANavaka,xqRti,prekRA,vivikwa
UrarI,UrI,yava,piTara,vivikwi
yaWArWam,yaWAwaWam,kaRta,xuroxara,mANavaka
loka,prajA,peSala,svajana,varNa
vyAXi,rujA,sewu,Af,rolamba
rUpya,wallaja,upaniRkara,anuwwara,vyawyAsa
Sreyas,akRara,SrAvaNika,SrIparNikA,niGna
sAraWi,sAxin,vyaFjana,swabaka,puwra
xayA,kAruNya,parIvAra,nivAwa,kroXa
yaSas,KyAwi,hAyana,anUka,ullola
parikara,palyafka,niRTAna,xASa,nimnagA
pawwi,sAXana,sWUNA,pramANa,samajyA
Asana,pITa,waraNi,kata,pura
paNdiwa,XIra,arNas,piSuna,pragrAha
mAlAwqNaka,sOganXika,GqNA,uRNa,pASin
viwAna,vrawawi,jAla,buXa,BUwAwman
gavAkRa,vAwAyana,kriyA,wAmracUda,avagIwa
praNiXi,lAlasA,kulaswrI,Bava,alam
pala,mAMsa,ekaxqRti,lIlA,Brama
puRkara,rAjIva,uwkarRa,katu,parvan
sqRti,Xruva,SvaSurya,nikqwa,bARpa
svAxu,maXura,iwi,anwara,hala
api,Awafka,sahAya,jaGanya,aWo
viRa,wIkRNa,prasixXa,vivara,pragraha
kqwa,kuSala,aruNa,ucCriwa,ahaha
Kaga,Sakuni,xqDa,SrayaNa,api
pravqwwi,vega,wanxrI,sIra,SePas
halAyuXa,halin,baBru,hanwa,xvijihva
Kalu,ayi,svarBAnu,sWUNA,viparyaya
kAxambinI,kAlikA,Xarma,pramANa,xIpaka
yava,SiwaSUka,prawIka,aBihAra,praWiwa
kISa,SAKAmqga,BUwAwman,kRuxrA,katu
awikrama,awipAwa,virAj,go,parIvAra
saMjFA,CAyA,nIvAka,yaWAjAwa,hA
snuhI,vajraxru,ciraFjIvin,udu,vaSA
aWo,kriyA,bAla,SAla,AkroSa
sWUloccaya,cana,SaSaXara,apAfga,SrAvaNa
yAvaw_wAvaw,anwara,arcA,samAna,lakRa
anuwwara,wala,rujA,xuRkqwa,puraswAw
SArvara,anXawamasa,IkRaNa,suwa,upacariwa
reNu,rajas,jagaw,grAma,AXi
xEva,xiRta,pipAsA,yuga,suXI
hava,AkAraNA,anwarXA,kati,uwwara
sWAna,anwara,bAlawqNa,praNiXi,pAli
saMvix,xqS,XI,nUnam,naBas
samparAya,Awafka,saMsWA,romaharRaNa,mAwra
rARtra,ajira,prIwa,ari,ninaxa
Palaka,Ketaka,vega,ka,oxana
ORaXa,BeRaja,kAlI,nilaya,aNu
paxa,sawwva,bAhuja,nanu,SaRpa
nir,sarga,sArafga,vasu,sAra
wvac,wanu,kArikA,aSeRa,afgulI
BUwika,anAryawikwa,jAmi,prApwi,cAraNAyuXa
saraGA,maXumakRikA,mAnuRa,xiS,lakRa
Canxas,Sloka,jAyu,hiraNyarewas,wamas
maXura,hqxya,Af,ojas,kRewrajFa
kroda,pAli,smaya,Af,haswa
gaNa,pAriRaxa,BUwa,gucCaka,vqwra
aga,naga,pAwAla,mAMsa,uccEs
sqwi,sahas,sqRti,prawyaya,xuRTu
pASa,praharaNa,UrI,uwwaMsa,urarI
laGu,iRta,awyaya,rasa,xIkRiwa
varNa,swowra,Sukwa,parAkrama,pariXAna
harRa,maxa,SoBA,kqwa,ayana
kAnwAra,mahAraNya,hEmavawI,saMvix,vipaNi
upaXi,kusqwi,nija,svajana,mEWuna
svaru,xamBoli,ApIda,vyavaXA,aBiRafga
guhya,upasWa,lAsikA,alam,BogavawI
SuRi,SvaBra,akRaxevin,SiwaSUka,haswyAroha
niryUha,ApIda,varNa,aWa,cUdA
sravanwI,nimnagA,maxa,saMsWAna,kriyA
Gana,SaSvaw,SapaWa,SaTa,vasu
kuSala,riRta,sOmya,paripaNa,OSIra
vexanA,upalamBa,kAma,SrIparNikA,vega
Suci,hA,riRta,aBimAna,vraja
aNdaja,xvija,niyanwq,avagaNiwa,vajrin
yoga,aBihAra,maswaka,parAjaya,mUrCiwa
paScAw,prawyag,anwara,cUdA,haya
picCabarha,kalApa,asAra,kAla,ruxiwa
Ali,Avali,parIvAra,grAma,uccEs
afkura,aBinavoxBix,avaSyam,vArwA,anna
suRama,aBirUpa,leKarRaBa,swEnya,avamawa
kOpIna,avaskara,viwAna,wIrWa,gqha
iwara,para,pura,varRa,upAwyaya
vqRNi,avi,rasa,Suci,prasAXiwa
viwaWa,kUta,gAyawrI,SaSvaw,sewu
AsWA,samiwi,anuBava,nagarI,jatA
wriviRtapa,xiv,BogavawI,vyaswa,lalAma
apasaxa,prAkqwa,xIxivi,gaNda,kAfkRA
abja,SafKa,parikara,pUrva,kuNdI
IRaw,manxa,SApa,prawIhAra,apaciwi
kriyA,cikiwsA,wanxrA,irA,saFcArikA
kuNdI,karaka,Awafka,preman,loka
gaNa,petaka,aBIkRNam,vqwra,aXIna
ciwraka,wilaka,IhA,kRuxra,vA
BreRa,vyasana,uwsarjana,viRaya,abxa
vivikwa,rahas,rARtra,niRTA,wUNI
Sapana,samaya,virala,samAna,nipa
upasafKyAna,pariXAna,unmAWa,sarIsqpa,svarUpa
upaniRax,Xarma,bIjakoSa,SAKAnagara,jAwi
kimpacAna,kRuxra,janmin,sva,karNikA
prawyaya,visramBa,Xarma,awi,amla
pravqxXa,eXiwa,kaMsArAwi,aSva,cikura
kAFcana,canxra,meRa,saMsWAna,anu
marIci,SiKA,jAmi,koRa,prApwarUpa
awyaya,kANda,iwara,wruti,svaswi
kapiSIrRa,kudya,atta,nuwi,sawya
aBiXAna,Ahvaya,nUnam,koSa,yAminI
vallava,gopa,aBihAra,kaRta,hari
viRNupaxa,gagana,lAlasA,kRama,vacas
kqRNavarwman,bqhaxBAnu,hari,geha,ahaha
axarSana,vinASa,kruRta,rajas,alam
hum,aXyAhAra,aSvA,nAga,hum
kraWana,uxvAsana,xAraka,wanxrI,lAlasA
wanxrI,wanxrA,jyowis,praharaNa,kalA
prakAra,anu,XIsaciva,agra,ASraya
sparSana,samIraNa,xvA,wejas,hariwa
janapaxa,nIvqx,wrixaSAlaya,sanA,prawIcI
piSuna,SipiviRta,koRa,ApIda,piTara
GAwuka,SarAru,pawi,kataka,Canxas
uxXarRa,kRaNa,prakrama,agrawaH,gaNda
kInASa,kqRaka,Sarax,yoga,riRti
wIkRNa,spaSa,lakRa,vinASa,nu
Awmaja,wanaya,niGna,hI,rePa
praBava,XiRNya,yApya,kqRIvala,suXA
uwa,nu,sArameya,paripaNa,saha
pUrva,praWama,ciw,xvAra,anuSaya
niswriMSa,pApa,prasUna,viprakqRtaka,karRu
vAmI,prasU,vyawyAsa,prayAma,axarSana
hum,sviw,apaxeSa,vAdava,Baga
bIjakoSa,varAtaka,xaSamIsWa,nipuNa,wanxrI
sWUNA,vasawi,vEjayanwI,SAvaka,samanwaxugXA
vyaswa,Akula,sammUrcCana,xuroxara,kacCapI
cihna,nimiwwa,vEXeya,xureRaNA,iwara
awi,iwi,sammUrcCana,aXyakRa,wryambakasaKa
Svewa,kalaXOwa,krUra,koSa,nyUna
parIvAra,koSa,rAjanya,wqNa,sAra
samAXi,prayAma,prakIrNaka,aBIkRNam,swoma
muNdin,grAmaNI,ravi,XIsaciva,kAla
wufga,uxagra,nipuNa,kukkura,kitta
prasAxa,anuvarwana,kRipra,mAwrA,SmaSru
rawna,maNi,maXya,svasq,go
Sruwi,wrayI,nirxeSa,Aspaxa,raMhas
aBinIwa,kRama,SrI,xqS,Bava
hari,Suka,riRti,samAna,niScaya
pIlu,Sara,makaranxa,roRa,sarasIruha
gomAyu,BUrimAya,kOpIna,paryApwa,kotI
kexAra,kRewra,viRaya,XAwu,hIna
avasara,praswAva,hewi,warka,yoga
kam,mUrXan,SiKA,xivAkIrwi,AsWA
somapa,Xarma,agaxa,paFcajana,duli
vakwavya,nyUna,xvApara,pinAka,yoga
niRka,pala,avagIwa,Awman,mAwra
wvaRtq,sUwa,gaNda,vipina,jaraw
nikaRA,saxeSa,kakuxmawI,niryUha,Anarwa
wamas,rajas,aBIkRNam,kAma,XvAnwa
kRIroxawanayA,haripriyA,pala,viwAna,pravqwwi
niXana,niRTA,SaRpa,pakRman,vqwwa
svapna,wanxrA,prawiyAwanA,prapaFca,newra
katu,katu,kilbiRa,uccEs,pIlu
kamaTI,duli,SaRpa,vA,ambu
atta,kROma,puraswAw,Samala,walpa
viRayI,hqRIka,kamala,varNa,kOleyaka
xUra,viprakqRtaka,vqRti,labXavarNa,anuSaya
ekakuNdala,naravAhana,gavAkRa,paxmA,upAMSu
avaxAwa,harixrABa,wAlAfka,wala,yAvaw_wAvaw
Aloka,jyowis,vqRti,koRa,BikRA
xIxivi,BissA,sWAna,vakwavya,harixrABa
aWo,Siva,vyUDa,yoga,manwu
kaRta,kalila,manwrin,kusumBa,Adambara
manxira,nigama,ullola,XAwu,pramANa
maNdiwa,pariRkqwa,wama,aXiRTAna,vqRaXvaja
parikara,mAwrA,lalAma,BerI,wrixiva
Sawru,ari,mAlAwqNaka,vqRNi,cakra
BANda,lalAma,xevara,saMswyAya,apavAxa
kakuxa,lalAma,kANda,uwwara,saraGA
bawa,nanu,GAwuka,garuwmaw,kapata
BogI,kaFcukin,kirAwawikwa,kareNu,parigraha
ASaya,aBiprAya,narman,gahana,varNa
aruNa,gOra,aBimAna,sAkRAw,mawallikA
prakqwi,yoni,anwara,BaginI,pASin
vawsa,warNaka,koSa,rajawa,awiSaya
newra,locana,nyUna,vqjina,Ketaka
irA,idA,aKila,wala,pAWa
kriyA,awi,SeKara,rasa,parvan
awiSaya,kARTA,ahaha,ASuga,api
saKI,AlI,vyUDa,niRka,kARTA
nigama,vipaNi,anuSaya,pipAsA,anuroXa
vqnxAraka,eka,upasWa,Silpa,raxana
karigarjiwa,Adambara,rAma,kRama,parIvAra
pravayas,jIrNa,hA,swabaka,mecaka
vArivAha,jalamuc,kaxarya,SArxUla,aparAXa
CAyA,Cavi,prawiyawna,surajyeRTa,meGamAlA
nIvI,mUlaXana,sWAna,SayyA,newra
riRta,ariRta,anwAvasAyin,Suci,sAnu
nikqwa,vyAla,kacCapI,kANda,vqwwa
uxAra,BUwAwman,Amoxa,mahAraNya,SAriPala
usrA,arjunI,wejas,jAwarUpa,paSu
Xarma,kuSala,AkroSana,lIlA,vIruX
uxak,uxIcI,miWyAmawi,ASraya,rahasya
prawyak,vAruNI,varaNa,SrAya,janmin
anwara,anwareNa,vqwwa,vA,pravaNa
upamA,vA,bAhuja,Caxma,axarSana
upAsafga,kalApa,apasaxa,mAwra,avaskara
BaRaka,sArameya,meRa,sOmya,Svewa
SUnya,rikwaka,Anaka,viBAvarI,swoma
UrI,urarI,bAla,xamunas,amBas
kriyA,yoga,SarIrin,vyaFjana,Gana
rAjan,pArWiva,aho,xvija,naBas
xraviNa,svApaweya,walpa,vanOkas,visramBa
aXika,Pala,pura,kakuxmawI,AsWA
samAna,kevala,niXana,newra,pAriRaxa
yAvaw_wAvaw,prasWa,saFcArikA,Baga,svAxu
agra,uwwara,Silpa,pramIlA,anaya
kriyA,uRNa,xevara,jambuka,Sakqw
aBiyoga,aBihAra,kapiSIrRa,riRta,karNikA
parIvApa,wanwra,SarkarA,jAmi,kewana
kataka,kataka,eka,katu,kRuxrA
amara,xivyopapAxuka,vAmI,parIvAxa,sinXu
alasa,wunxaparimqja,kacCapI,cewana,sakqw
Baga,rasa,upAsiwa,Saswraka,acCa
sWAna,saMsWA,AXoraNa,rE,kRewrajFa
kRoNi,ilA,kexAra,BerI,gaNda
kriyA,karman,sahAya,aWa,vIWI
udu,wArakA,varRa,aRtApaxa,anwaka
maXu,puRparasa,meXya,ahi,prawyaya
xAva,kAnana,niScaya,kOpIna,kuSala
XiRaNA,ciw,uxyAna,wu,saMsWA
jAmi,BaginI,sahasrapawra,paripaNa,praNiXi
varuNa,yAxasAmpawi,SrAya,svAxu,koRa
SiKA,cUdA,pravaNa,samaya,purANapuruRa
sawyaka,parameRTin,ruc,sWiwi,wvac
apaciwi,kRiyA,Salka,piTara,akRa
amqwA,AmalakI,Ketaka,Balluka,akRavawI
